codigo,descripción,stock,precio,tipo_articulo
7179gosh7073,GoldFish,100,5.00,1
6578anun6779,Anubia común,200,15.00,2
6576alas6983,Alimento en escamas,300,25.00,3
7988oxor7982,Oxigenador,400,35.00,4
8069peos4950,Pecera 120 litros,0,95.00,5
8069peos5048,Pecera 20 litros,0,50.00,5
7073fios7983,Filtros,30,16.00,4
8469tees6983,Termocalentadores,1,195.00,4
6776clsh7073,ClownFish,70,9.99,1
6567acfo7182,Acondicionador para agua del grifo,9,3.49,4
6583asor7982,Aspirador,3,52.00,4
6765caon6869,Cascada para decoración,1,100.40,4
8469tero8279,Temómetro,60,1.00,4
6779coas8479,Comida tortugas,30,4.00,3
7182gros6765,Gránulos con efecto potenciador para cíclidos carnívoros,0,8.29,3
6576alño8069,Alimento para pez pequeño,2,7.00, 3
6779core6573,Compresor de aire,8,10.08,4
6576alks8384,Alimento Sticks,9,2.95,3
8365sakg5048,Sal sintética 20kg,21,58.99,4
6776clra5152,Cladophora 3-4cm,3,2.75,2
